Source,Target,Weight,Mission Report Id,Mission Report Title,Mission Brief Id,Mission Brief Title,Campaign Id,Campaign Title
"325","251","<[2012-05-27T14:57:31.000, 2015-02-21T13:57:31.000, 1]>",,,,,,
"1024","8","<[2012-09-12T18:18:59.000, 2015-06-09T18:18:59.000, 1]>",,,,,,
"808","4","<[2012-05-02T23:05:11.000, 2015-01-27T22:05:11.000, 1]>",,,,,,
"663","704","<[2012-04-10T11:50:00.000, 2012-04-16T17:30:43.000, 1); [2012-04-16T17:30:43.000, 2015-01-05T10:50:00.000, 2); [2015-01-05T10:50:00.000, 2015-01-11T16:30:43.000, 1]>",,,,,,
"514","468","<[2012-02-17T16:22:07.000, 2014-11-13T16:22:07.000, 1]>",,,,,,
"8","414","<[2012-01-18T13:13:38.000, 2014-10-14T14:13:38.000, 1]>",,,,,,
"44","262","<[2012-03-07T09:46:36.000, 2012-03-13T14:00:04.000, 1); [2012-03-13T14:00:04.000, 2014-12-02T09:46:36.000, 2); [2014-12-02T09:46:36.000, 2014-12-08T14:00:04.000, 1]>",,,,,,
"683","100","<[2012-06-21T14:42:41.000, 2015-03-18T13:42:41.000, 1]>",,,,,,
"4","63","<[2012-02-29T19:14:18.000, 2012-03-07T10:53:17.000, 1); [2012-03-07T10:53:17.000, 2014-11-25T19:14:18.000, 2); [2014-11-25T19:14:18.000, 2014-12-02T10:53:17.000, 1]>",,,,,,
"64","812","<[2012-05-09T18:00:00.000, 2012-05-10T00:01:42.000, 1); [2012-05-10T00:01:42.000, 2012-05-10T05:04:00.000, 2); [2012-05-10T05:04:00.000, 2012-05-11T01:14:00.000, 3); [2012-05-11T01:14:00.000, 2012-05-16T00:27:29.000, 4); [2012-05-16T00:27:29.000, 2012-05-16T06:31:14.000, 5); [2012-05-16T06:31:14.000, 2012-06-01T20:43:20.000, 6); [2012-06-01T20:43:20.000, 2012-06-02T17:03:14.000, 7); [2012-06-02T17:03:14.000, 2012-06-03T13:07:32.000, 8); [2012-06-03T13:07:32.000, 2012-06-04T03:49:22.000, 9); [2012-06-04T03:49:22.000, 2012-06-27T21:39:27.000, 10); [2012-06-27T21:39:27.000, 2012-06-28T22:52:45.000, 11); [2012-06-28T22:52:45.000, 2012-07-09T21:15:37.000, 12); [2012-07-09T21:15:37.000, 2015-02-03T17:00:00.000, 13); [2015-02-03T17:00:00.000, 2015-02-03T23:01:42.000, 12); [2015-02-03T23:01:42.000, 2015-02-04T04:04:00.000, 11); [2015-02-04T04:04:00.000, 2015-02-05T00:14:00.000, 10); [2015-02-05T00:14:00.000, 2015-02-09T23:27:29.000, 9); [2015-02-09T23:27:29.000, 2015-02-10T05:31:14.000, 8); [2015-02-10T05:31:14.000, 2015-02-26T19:43:20.000, 7); [2015-02-26T19:43:20.000, 2015-02-27T16:03:14.000, 6); [2015-02-27T16:03:14.000, 2015-02-28T12:07:32.000, 5); [2015-02-28T12:07:32.000, 2015-03-01T02:49:22.000, 4); [2015-03-01T02:49:22.000, 2015-03-24T20:39:27.000, 3); [2015-03-24T20:39:27.000, 2015-03-25T21:52:45.000, 2); [2015-03-25T21:52:45.000, 2015-04-05T21:15:37.000, 1]>",,,,,,
