comment_id,timestamp,author_id,target_id,effort,nid,brief_id,author_team
3384,1340868908,4,82,700,1070,683,1
3385,1340872836,8,4,448,1042,712,1
3386,1340887783,11,167,184,1089,640,0
3387,1340893683,890,11,1988,1100,640,0
3388,1340894029,890,11,606,1100,640,0
3389,1340894332,890,11,213,1100,640,0
3390,1340894875,64,4,2827,1046,640,1
3391,1340896881,8,890,484,1100,640,1
3392,1340897027,8,890,393,1100,640,1
3393,1340897898,8,857,418,931,401,1
3394,1340899145,8,857,1273,1064,712,1
3395,1340903574,266,1056,37,1087,29,0
3401,1340913337,857,10,532,1064,712,0
3400,1340911743,10,857,531,1064,712,1
3399,1340905238,64,8,343,931,401,1
3402,1340915855,857,64,153,931,401,0
3403,1340916608,857,8,367,931,401,0
3404,1340916765,64,812,864,1058,482,1
3405,1340917285,812,64,634,1058,482,0
3406,1340918705,857,10,655,1064,712,0
3407,1340919098,8,857,570,931,401,1
3408,1340919595,857,8,522,1064,712,0
3409,1340920700,857,8,557,931,401,0
3410,1340921158,857,8,295,1064,712,0
3411,1340924468,857,537,87,1064,712,0
3412,1340957726,82,82,2010,1070,683,0
3413,1340961676,8,974,745,1063,640,1
3414,1340965242,8,51,737,1091,640,1
3415,1340966011,384,51,591,1091,640,0
3416,1340970418,812,655,2445,1031,769,0
3417,1340997843,51,384,13053,1091,640,0
3418,1341038676,384,51,2851,1091,640,0
3419,1341047062,1118,64,225,410,44,0
3420,1341047265,932,857,578,1064,712,0
3421,1341059618,647,64,610,1093,640,0
3422,1341072595,716,974,885,1063,640,0
3584,1342698044,890,857,250,1140,640,0
3424,1341082048,857,537,672,1064,712,0
3425,1341083762,812,857,1002,1064,712,0
3427,1341129758,266,537,2579,1064,712,0
3428,1341133740,266,537,422,1064,712,0
3429,1341131836,812,266,1818,1064,712,0
3430,1341138934,716,51,3026,1091,640,0
3431,1341139265,716,51,228,1091,640,0
3432,1341217836,1056,266,207,1087,29,0
3433,1341219437,1056,4,791,1087,29,0
3434,1341220796,1056,857,85,1087,29,0
3435,1341226728,647,537,3092,1017,769,0
3436,1341227256,8,384,967,1106,640,1
3437,1341242537,151,4,223,1042,712,0
3438,1341243658,8,812,2156,1064,712,1
3439,1341245641,92,4,225,1031,769,0
3440,1341251950,8,867,1082,1112,1041,1
3441,1341385188,1126,245,227,894,29,0
3442,1341399302,82,82,3556,1070,683,0
3443,1341398149,384,1121,254,1119,29,0
3444,1341400063,4,1121,848,1119,29,1
3445,1341414910,8,384,762,1107,640,1
3446,1341423388,4,537,1166,1017,769,1
3448,1341473426,812,4,2130,1017,769,0
3449,1341478294,812,537,6269,1017,769,0
3450,1341479065,1121,4,1454,1119,29,0
3451,1341480092,51,8,7007,1091,640,0
3452,1341480553,51,716,181,1091,640,0
3453,1341482386,266,537,2226,1017,769,0
3454,1341481704,51,51,73,1091,640,0
3455,1341487502,8,716,556,1063,640,1
3456,1341487627,974,716,687,1063,640,0
3457,1341488698,974,8,1258,1063,640,0
3487,1341836203,151,0,345,769,0,0
3459,1341490985,82,82,1577,1070,683,0
3460,1341499603,8,857,359,1064,712,1
3461,1341500971,262,0,1435,1041,0,0
3462,1341518100,51,384,146,1091,640,0
3463,1341518485,51,384,282,1108,640,0
3464,1341519176,384,51,338,1108,640,0
3465,1341519951,51,384,103,1108,640,0
3466,1341520271,51,716,1324,1091,640,0
3467,1341563099,51,51,244,1091,640,0
3468,1341569428,51,51,8100,1091,640,0
3469,1341571311,82,82,116,1070,683,0
3470,1341571852,716,51,279,1091,640,0
3471,1341572218,716,51,195,1091,640,0
3472,1341583300,262,974,1238,1063,640,0
3473,1341583541,1070,537,2172,1017,769,0
3474,1341583680,262,716,284,1063,640,0
3475,1341586687,8,974,260,1063,640,1
3476,1341589708,262,8,1219,1063,640,0
3477,1341593100,8,716,582,1091,640,1
3478,1341603180,8,812,1163,1111,769,1
3479,1341613932,812,8,397,1111,769,0
3481,1341748323,974,262,712,1063,640,0
3482,1341748606,974,262,615,1063,640,0
3483,1341767785,51,8,10011,1091,640,0
3484,1341777930,51,716,3018,1091,640,0
3485,1341778688,51,716,763,1091,640,0
3486,1341829265,10,51,510,1091,640,1
3489,1341848736,10,82,108,1070,683,1
3490,1341854925,10,857,481,1064,712,1
3491,1341860814,64,867,406,1112,1041,1
3492,1341861337,64,812,480,1111,769,1
3493,1341865701,812,64,1484,1111,769,0
3488,1345042093,151,0,1003,769,0,0
3494,1341935725,82,10,1928,1070,683,0
3495,1341918475,10,262,480,1064,712,1
3496,1341924400,8,167,1247,1089,640,1
3497,1341925663,1134,711,3662,802,406,0
3498,1341928139,4,1134,218,802,406,1
3499,1341954161,82,82,2203,1070,683,0
3500,1341960774,932,82,790,1070,683,0
3501,1341996877,82,932,1575,1070,683,0
3502,1341999847,932,82,907,1070,683,0
3503,1342001720,82,932,379,1070,683,0
3504,1342002113,932,932,269,1070,683,0
3505,1342003349,932,932,1091,1070,683,0
3506,1342013320,262,974,1281,1063,640,0
3507,1342024066,266,266,3601,249,43,0
3508,1342045266,69,454,1228,1046,640,0
3509,1342047991,932,974,787,1063,640,0
3510,1342049398,932,266,363,249,43,0
3511,1342050246,266,932,1209,249,43,0
3512,1342051380,932,266,582,249,43,0
3513,1342085369,8,985,794,1020,323,1
3514,1342091528,151,4,405,1085,640,0
3515,1342091353,8,266,943,249,43,1
3583,1342695494,932,10,1955,1140,640,0
3517,1342097725,266,8,5753,249,43,0
3518,1342111322,82,932,983,1070,683,0
3519,1342113398,425,985,929,1020,323,0
3520,1342114101,932,4,2430,1046,640,0
3521,1342126284,932,82,1625,1070,683,0
3522,1342131336,932,82,1039,1070,683,0
3523,1342133131,932,932,64,1070,683,0
3524,1342133837,4,932,512,1046,640,1
3525,1342135975,932,4,493,1046,640,0
3526,1342165181,4,935,227,1130,712,1
3527,1342177823,935,4,197,1130,712,0
3528,1342183544,812,935,667,1130,712,0
3529,1342186941,10,932,275,1046,640,1
3530,1342188399,4,935,208,1130,712,1
3531,1342210916,756,454,2411,1046,640,0
3532,1342342505,932,722,863,938,688,0
3533,1342343602,10,932,1296,938,688,1
3534,1342344505,932,10,1305,1046,640,0
3535,1342347444,932,10,1846,938,688,0
3536,1342354537,10,265,511,907,688,1
3537,1342390259,1137,265,3,907,688,0
3541,1342391383,932,4,1518,938,688,0
3654,1343039608,857,10,189,1140,640,0
3543,1342433820,4,384,2131,1105,640,1
3538,1342378384,4,932,991,938,688,1
3539,1342381445,205,4,296,1130,712,0
3540,1342434865,205,935,246,1130,712,0
3544,1342437847,384,4,1587,1105,640,0
3545,1342439300,10,384,845,1105,640,1
3546,1342442283,262,384,8857,1106,640,0
3547,1342458309,716,8,258,1106,640,0
3548,1342458759,4,716,211,1106,640,1
3549,1342458929,1137,716,449,1106,640,0
3550,1342459106,1137,4,249,1106,640,0
3551,1342479098,205,935,1206,1130,712,0
3552,1342523635,932,10,1274,907,688,0
3553,1342524965,932,10,172,907,688,0
3554,1342540330,260,932,1183,907,688,0
3555,1342567907,683,820,1372,960,188,1
3556,1342569577,857,10,940,1140,640,0
3557,1342572157,683,4,991,1106,640,1
3558,1342608158,8,1137,694,1106,640,1
3559,1342618803,683,932,1352,938,688,1
3560,1342621086,378,10,1254,1140,640,0
3592,1342777747,857,537,646,1017,769,0
3562,1342621547,683,10,1107,1140,640,1
3563,1342622706,857,683,96,1140,640,0
3564,1342623203,683,857,496,1140,640,1
3565,1342623416,683,8,277,1112,1041,1
3566,1342625167,10,683,295,1140,640,1
3567,1342625306,683,378,1437,1048,712,1
3568,1342625535,857,683,660,1140,640,0
3569,1342625738,857,10,289,1140,640,0
3570,1342626082,857,683,327,1140,640,0
3571,1342626531,857,378,373,1140,640,0
3572,1342626787,857,10,76,1140,640,0
3573,1342634764,683,857,1661,1140,640,1
3574,1342639520,820,683,228,960,188,0
3575,1342644356,857,683,248,1140,640,0
3576,1342644429,857,4,20,960,188,0
3577,1342646301,932,683,99,1112,1041,0
3578,1342646483,857,820,83,960,188,0
3581,1342688145,8,932,484,1112,1041,1
3582,1342691001,10,8,810,1112,1041,1
3585,1342698410,8,683,636,1048,712,1
3586,1342702590,683,932,280,1140,640,1
3587,1342703217,10,932,207,1140,640,1
3588,1342703906,932,683,682,1140,640,0
3589,1342704014,932,932,39,1140,640,0
3590,1342733713,857,932,709,1140,640,0
3591,1342774528,857,537,1184,1017,769,0
3593,1342778064,10,857,785,1140,640,1
3594,1342778689,857,1070,566,1017,769,0
3595,1342779092,10,857,912,1140,640,1
3596,1342779297,262,10,6555,1140,640,0
3597,1342781656,683,857,827,1017,769,1
3598,1342784942,10,678,115,1145,486,1
3599,1342785349,1137,678,13,1145,486,0
3600,1342785745,1137,932,1294,1140,640,0
3601,1342788118,8,678,204,1145,486,1
3602,1342789084,812,678,1723,1145,486,0
3603,1342789113,10,1137,3907,1140,640,1
3604,1342789484,965,678,321,1145,486,0
3605,1342791014,10,812,81,1145,486,1
3606,1342791525,812,10,343,1145,486,0
3607,1342791841,205,678,1607,1145,486,0
3608,1342793416,266,678,133,1145,486,0
3609,1342793514,266,266,141,249,43,0
3610,1342794369,932,678,266,1145,486,0
3611,1342794414,82,82,2242,1070,683,0
