281,0,156,02 - Making a living,0
282,9,2572,01 - Bootcamp,9
284,0,1006,01 - Bootcamp,2
285,0,2367,01 - Bootcamp,0
286,0,222,01 - Bootcamp,0
289,0,79,01 - Bootcamp,0
290,0,252,01 - Bootcamp,0
291,0,147,01 - Bootcamp,0
292,0,682,01 - Bootcamp,2
288,0,1173,01 - Bootcamp,0
293,0,807,01 - Bootcamp,2
294,0,1145,01 - Bootcamp,0
295,0,2638,01 - Bootcamp,2
296,0,850,01 - Bootcamp,2
297,2,1230,01 - Bootcamp,0
298,0,6445,01 - Bootcamp,0
299,0,727,01 - Bootcamp,9
300,9,1767,01 - Bootcamp,0
301,0,373,02 - Making a living,0
302,0,1491,01 - Bootcamp,9
303,0,828,02 - Making a living,0
304,0,201,02 - Making a living,0
305,0,678,01 - Bootcamp,0
306,0,974,01 - Bootcamp,9
307,0,85,01 - Bootcamp,0
310,2,66,01 - Bootcamp,0
311,0,3880,01 - Bootcamp,0
309,0,985,01 - Bootcamp,0
312,0,2975,01 - Bootcamp,0
313,9,897,01 - Bootcamp,0
314,9,740,01 - Bootcamp,0
315,0,1060,02 - Making a living,0
316,0,422,01 - Bootcamp,2
317,0,3423,01 - Bootcamp,0
318,0,757,02 - Making a living,0
319,0,492,02 - Making a living,0
320,0,552,01 - Bootcamp,0
321,0,295,02 - Making a living,0
322,0,1448,02 - Making a living,0
323,0,0,02 - Making a living,0
324,3,603,02 - Making a living,0
325,0,1364,02 - Making a living,0
326,0,2333,02 - Making a living,0
329,1,2335,01 - Bootcamp,0
328,0,130,02 - Making a living,0
330,1,717,01 - Bootcamp,0
331,3,739,02 - Making a living,3
332,0,1523,02 - Making a living,0
333,0,2097,02 - Making a living,0
334,0,158,02 - Making a living,0
335,0,1483,02 - Making a living,0
336,0,391,02 - Making a living,0
337,0,50,02 - Making a living,0
338,0,2165,02 - Making a living,0
339,0,1950,02 - Making a living,3
340,0,1950,02 - Making a living,3
341,0,84,02 - Making a living,3
342,3,1587,02 - Making a living,0
343,9,1471,02 - Making a living,0
344,0,827,02 - Making a living,9
345,0,118,00 - Undefined,0
346,0,111,00 - Undefined,0
347,0,891,01 - Bootcamp,0
348,0,4594,01 - Bootcamp,0
349,9,1660,02 - Making a living,0
350,3,878,02 - Making a living,3
351,0,1771,01 - Bootcamp,9
352,9,1042,01 - Bootcamp,0
353,0,1328,00 - Undefined,0
354,0,2257,02 - Making a living,0
355,3,3303,02 - Making a living,0
357,0,617,01 - Bootcamp,0
358,0,5311,01 - Bootcamp,0
359,0,238,02 - Making a living,0
360,0,3050,01 - Bootcamp,0
361,0,2966,02 - Making a living,0
362,0,119,01 - Bootcamp,4
363,0,1539,02 - Making a living,0
364,0,1671,02 - Making a living,0
365,0,234,01 - Bootcamp,9
366,0,750,01 - Bootcamp,5
367,0,750,01 - Bootcamp,5
368,5,945,01 - Bootcamp,0
369,0,67,01 - Bootcamp,5
370,0,663,01 - Bootcamp,0
371,0,2360,02 - Making a living,0
372,9,2853,01 - Bootcamp,0
373,0,59,01 - Bootcamp,0
374,0,1913,02 - Making a living,0
375,9,2223,02 - Making a living,0
376,0,2323,02 - Making a living,0
377,9,3124,02 - Making a living,0
378,0,2265,01 - Bootcamp,0
379,0,3,02 - Making a living,0
380,0,426,02 - Making a living,9
381,9,2200,02 - Making a living,0
382,0,891,02 - Making a living,9
407,6,4534,01 - Bootcamp,0
385,0,1954,01 - Bootcamp,6
386,0,490,02 - Making a living,0
387,0,1706,01 - Bootcamp,1
388,0,5667,01 - Bootcamp,0
389,0,524,02 - Making a living,0
390,0,3145,02 - Making a living,0
391,0,600,02 - Making a living,0
392,0,200,02 - Making a living,0
393,0,978,02 - Making a living,0
394,0,1173,02 - Making a living,0
395,0,1598,02 - Making a living,0
396,0,639,02 - Making a living,4
397,1,2633,01 - Bootcamp,1
398,0,1137,01 - Bootcamp,1
399,0,1079,02 - Making a living,4
400,2,209,01 - Bootcamp,2
401,0,1160,01 - Bootcamp,2
402,0,1496,01 - Bootcamp,2
403,0,1142,02 - Making a living,9
1193,0,213,00 - Undefined,4
1194,4,1098,01 - Bootcamp,2
1195,0,542,05 - Learning,0
1196,0,1110,05 - Learning,0
1197,0,392,04 - Caring for commons,4
1198,4,1832,04 - Caring for commons,4
1199,4,900,05 - Learning,0
1200,4,104,05 - Learning,4
1201,0,1010,01 - Bootcamp,4
1202,0,1899,01 - Bootcamp,2
1203,0,314,02 - Making a living,0
1204,4,429,01 - Bootcamp,4
1205,0,47,05 - Learning,4
1206,0,518,05 - Learning,0
1207,0,465,01 - Bootcamp,4
1208,4,2571,01 - Bootcamp,0
1209,4,950,01 - Bootcamp,4
1210,4,820,01 - Bootcamp,0
1211,4,234,05 - Learning,0
1212,0,894,05 - Learning,4
1213,0,1325,01 - Bootcamp,4
1214,0,691,02 - Making a living,4
1215,4,582,02 - Making a living,0
1216,0,1120,02 - Making a living,4
1217,0,1463,05 - Learning,4
1218,0,2090,01 - Bootcamp,4
1219,0,1158,01 - Bootcamp,2
1220,0,515,05 - Learning,4
1221,2,1295,01 - Bootcamp,2
1222,0,518,02 - Making a living,0
1223,0,359,01 - Bootcamp,4
1224,2,840,01 - Bootcamp,2
1225,0,1419,"03 - We, the people",2
1226,0,280,02 - Making a living,0
1227,0,843,05 - Learning,4
1228,0,1275,02 - Making a living,0
1229,0,461,01 - Bootcamp,2
1230,0,996,04 - Caring for commons,4
1231,0,1978,01 - Bootcamp,2
1232,2,1713,"03 - We, the people",0
1233,2,2729,01 - Bootcamp,0
1234,0,558,"03 - We, the people",2
1235,2,743,01 - Bootcamp,4
1236,0,352,02 - Making a living,4
1237,0,2869,01 - Bootcamp,2
404,2,295,01 - Bootcamp,2
405,0,476,01 - Bootcamp,2
406,0,89,02 - Making a living,0
408,0,1264,01 - Bootcamp,2
409,2,668,01 - Bootcamp,0
410,0,328,01 - Bootcamp,2
